"DONNEES - Nombre d'activités exercées par les médecins"
"ANNEE - 2018"

,SEXE,"Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes"
"Neurologie","Etablissement privé lucratif",73,0,3,6,11,9,8,12,12,7,5,47,0,0,2,7,4,4,11,8,7,4,26,0,3,4,4,5,4,1,4,0,1
"Neurologie","Centre de santé",51,0,0,3,5,4,9,8,10,5,7,29,0,0,1,1,3,2,4,10,3,5,22,0,0,2,4,1,7,4,0,2,2
"Neurologie","Cabinet individuel",439,0,11,35,37,48,86,81,83,42,16,263,0,1,11,22,21,44,54,63,32,15,176,0,10,24,15,27,42,27,20,10,1
"Neurologie","Cabinet de groupe, société",472,0,25,37,48,59,88,79,89,33,14,297,0,5,21,25,35,53,50,71,25,12,175,0,20,16,23,24,35,29,18,8,2
"Neurologie","Prévention",4,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0
"Neurologie","Autres secteurs",202,1,13,16,23,20,34,36,37,20,2,127,0,2,4,14,12,22,29,25,18,1,75,1,11,12,9,8,12,7,12,2,1
"Neurologie","Activités exercées par des remplaçants",90,8,26,19,12,5,7,5,3,3,2,36,2,8,7,5,2,4,4,1,2,1,54,6,18,12,7,3,3,1,2,1,1
"ORL et chirurgie cervico-faciale","ENSEMBLE",5313,28,430,548,398,458,654,845,1164,555,233,4008,17,195,297,234,346,519,680,982,520,218,1305,11,235,251,164,112,135,165,182,35,15
"ORL et chirurgie cervico-faciale","Hôpital public",1453,25,230,170,113,130,179,212,248,105,41,987,14,94,86,60,89,135,172,202,97,38,466,11,136,84,53,41,44,40,46,8,3
"ORL et chirurgie cervico-faciale","Etablissement privé ESPIC",99,0,9,14,11,4,12,16,17,13,3,73,0,6,7,7,4,9,13,11,13,3,26,0,3,7,4,0,3,3,6,0,0
"ORL et chirurgie cervico-faciale","Etablissement privé lucratif",531,0,26,70,53,58,58,96,109,47,14,433,0,17,37,37,49,53,77,102,47,14,98,0,9,33,16,9,5,19,7,0,0
"ORL et chirurgie cervico-faciale","Centre de santé",274,0,3,5,20,16,28,49,79,31,43,196,0,1,2,13,8,16,32,59,30,35,78,0,2,3,7,8,12,17,20,1,8
"ORL et chirurgie cervico-faciale","Cabinet individuel",938,0,26,62,52,71,106,153,279,127,62,768,0,14,38,25,53,81,127,249,119,62,170,0,12,24,27,18,25,26,30,8,0
"ORL et chirurgie cervico-faciale","Cabinet de groupe, société",1390,0,62,151,95,119,193,237,334,155,44,1133,0,31,89,62,103,169,195,294,148,42,257,0,31,62,33,16,24,42,40,7,2
"ORL et chirurgie cervico-faciale","Prévention",17,0,0,0,1,1,0,0,8,3,4,6,0,0,0,0,1,0,0,0,1,4,11,0,0,0,1,0,0,0,8,2,0
"ORL et chirurgie cervico-faciale","Autres secteurs",399,1,18,43,38,46,62,68,80,36,7,285,1,8,23,22,33,51,54,58,30,5,114,0,10,20,16,13,11,14,22,6,2
"ORL et chirurgie cervico-faciale","Activités exercées par des remplaçants",212,2,56,33,15,13,16,14,10,38,15,127,2,24,15,8,6,5,10,7,35,15,85,0,32,18,7,7,11,4,3,3,0
"Oncologie option médicale","ENSEMBLE",1430,8,202,194,195,206,243,196,101,55,30,740,0,58,85,106,91,135,123,63,53,26,690,8,144,109,89,115,108,73,38,2,4
"Oncologie option médicale","Hôpital public",509,5,97,66,64,78,78,66,32,15,8,228,0,28,26,33,32,39,34,15,14,7,281,5,69,40,31,46,39,32,17,1,1
"Oncologie option médicale","Etablissement privé ESPIC",60,0,1,9,14,8,17,4,4,2,1,32,0,1,6,8,3,8,3,1,1,1,28,0,0,3,6,5,9,1,3,1,0
"Oncologie option médicale","Etablissement privé lucratif",107,0,2,13,20,17,16,20,8,7,4,73,0,1,9,13,14,8,11,6,7,4,34,0,1,4,7,3,8,9,2,0,0
"Oncologie option médicale","Centre de santé",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Oncologie option médicale","Cabinet individuel",61,0,1,9,7,8,9,17,5,3,2,40,0,0,5,6,3,5,13,3,3,2,21,0,1,4,1,5,4,4,2,0,0
"Oncologie option médicale","Cabinet de groupe, société",279,0,15,28,35,41,71,48,22,12,7,176,0,5,16,15,16,53,36,16,12,7,103,0,10,12,20,25,18,12,6,0,0
"Oncologie option médicale","Prévention",2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"Oncologie option médicale","Autres secteurs",373,2,74,63,49,51,50,40,25,11,8,175,0,21,22,28,22,21,25,20,11,5,198,2,53,41,21,29,29,15,5,0,3
"Oncologie option médicale","Activités exercées par des remplaçants",38,1,12,6,6,3,1,1,4,4,0,14,0,2,1,3,1,1,1,1,4,0,24,1,10,5,3,2,0,0,3,0,0
"Ophtalmologie","ENSEMBLE",10480,70,833,1207,997,912,1021,1624,2275,1053,488,6092,24,379,622,629,551,610,918,1337,645,377,4388,46,454,585,368,361,411,706,938,408,111
"Ophtalmologie","Hôpital public",1656,61,316,213,160,123,125,220,267,126,45,857,20,138,92,92,68,75,111,150,78,33,799,41,178,121,68,55,50,109,117,48,12
"Ophtalmologie","Etablissement privé ESPIC",195,2,28,33,25,18,23,20,31,7,8,96,1,15,13,9,11,14,7,17,7,2,99,1,13,20,16,7,9,13,14,0,6
"Ophtalmologie","Etablissement privé lucratif",1182,0,71,163,160,123,146,193,225,80,21,813,0,33,100,116,82,99,139,168,60,16,369,0,38,63,44,41,47,54,57,20,5
"Ophtalmologie","Centre de santé",442,0,17,25,20,18,33,84,117,77,51,224,0,7,11,12,6,19,40,53,34,42,218,0,10,14,8,12,14,44,64,43,9
"Ophtalmologie","Cabinet individuel",1989,0,37,117,131,143,146,369,625,273,148,1119,0,21,62,68,71,80,194,351,157,115,870,0,16,55,63,72,66,175,274,116,33
"Ophtalmologie","Cabinet de groupe, société",3982,2,212,508,416,414,463,621,861,355,130,2462,0,89,280,287,276,275,370,539,240,106,1520,2,123,228,129,138,188,251,322,115,24
"Ophtalmologie","Prévention",6,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,3,1,0
"Ophtalmologie","Autres secteurs",398,0,11,38,39,43,53,71,81,44,18,204,0,4,19,24,25,34,35,32,20,11,194,0,7,19,15,18,19,36,49,24,7
"Ophtalmologie","Activités exercées par des remplaçants",630,5,141,110,46,30,32,45,65,90,66,316,3,72,45,21,12,14,22,27,49,51,314,2,69,65,25,18,18,23,38,41,15
"Pédiatrie","ENSEMBLE",10769,260,1390,1335,1171,1153,1101,1369,1678,857,455,3272,28,153,221,271,295,350,548,680,419,307,7497,232,1237,1114,900,858,751,821,998,438,148
"Pédiatrie","Hôpital public",5056,224,993,772,643,598,546,525,500,180,75,1486,24,108,140,160,172,200,266,255,107,54,3570,200,885,632,483,426,346,259,245,73,21
"Pédiatrie","Etablissement privé ESPIC",248,2,32,39,32,29,27,33,36,14,4,65,1,5,8,2,6,9,9,13,10,2,183,1,27,31,30,23,18,24,23,4,2
"Pédiatrie","Etablissement privé lucratif",175,0,5,24,24,26,31,25,20,16,4,76,0,1,2,7,8,16,14,10,15,3,99,0,4,22,17,18,15,11,10,1,1
"Pédiatrie","Centre de santé",116,0,2,1,4,16,7,23,19,27,17,35,0,0,0,1,2,1,5,9,8,9,81,0,2,1,3,14,6,18,10,19,8
"Pédiatrie","Cabinet individuel",1584,1,42,130,130,154,168,255,374,189,141,628,0,2,20,34,45,51,119,159,102,96,956,1,40,110,96,109,117,136,215,87,45
"Pédiatrie","Cabinet de groupe, société",1240,1,76,142,129,146,146,189,259,110,42,414,0,10,14,27,27,38,74,137,58,29,826,1,66,128,102,119,108,115,122,52,13
"Pédiatrie","Prévention",602,2,14,13,33,43,40,113,229,88,27,44,0,1,1,1,0,1,6,13,9,12,558,2,13,12,32,43,39,107,216,79,15
"Pédiatrie","Autres secteurs",1043,8,53,90,89,89,96,146,201,167,104,319,1,2,10,23,20,22,31,67,74,69,724,7,51,80,66,69,74,115,134,93,35
"Pédiatrie","Activités exercées par des remplaçants",705,22,173,124,87,52,40,60,40,66,41,205,2,24,26,16,15,12,24,17,36,33,500,20,149,98,71,37,28,36,23,30,8
"Pneumologie","ENSEMBLE",4446,121,399,412,356,518,602,628,854,446,110,2673,61,136,124,152,237,353,471,654,383,102,1773,60,263,288,204,281,249,157,200,63,8
"Pneumologie","Hôpital public",1972,103,272,215,180,232,268,269,265,141,27,1064,56,90,71,75,106,150,196,185,109,26,908,47,182,144,105,126,118,73,80,32,1
"Pneumologie","Etablissement privé ESPIC",211,3,16,15,27,31,29,36,34,17,3,114,2,5,2,9,18,14,27,18,16,3,97,1,11,13,18,13,15,9,16,1,0
"Pneumologie","Etablissement privé lucratif",309,3,3,30,24,42,48,37,81,36,5,217,0,1,5,11,22,33,31,74,35,5,92,3,2,25,13,20,15,6,7,1,0
"Pneumologie","Centre de santé",137,0,4,10,6,6,13,20,41,23,14,75,0,1,1,1,4,4,13,23,16,12,62,0,3,9,5,2,9,7,18,7,2
"Pneumologie","Cabinet individuel",502,1,8,20,35,57,60,71,148,76,26,344,0,3,5,19,20,35,53,113,72,24,158,1,5,15,16,37,25,18,35,4,2
"Pneumologie","Cabinet de groupe, société",884,0,60,79,64,111,123,142,203,90,12,608,0,25,31,27,52,81,115,183,83,11,276,0,35,48,37,59,42,27,20,7,1
"Pneumologie","Prévention",27,0,2,1,2,2,5,4,3,6,2,11,0,0,0,2,0,2,1,2,3,1,16,0,2,1,0,2,3,3,1,3,1
"Pneumologie","Autres secteurs",256,3,9,18,11,23,46,45,62,31,8,161,0,3,5,4,9,29,33,44,26,8,95,3,6,13,7,14,17,12,18,5,0
"Pneumologie","Activités exercées par des remplaçants",148,8,25,24,7,14,10,4,17,26,13,79,3,8,4,4,6,5,2,12,23,12,69,5,17,20,3,8,5,2,5,3,1
"Psychiatrie","ENSEMBLE",19877,302,2013,1991,1657,1712,2363,2561,3349,2470,1459,9942,84,630,768,653,704,1106,1364,1909,1655,1069,9935,218,1383,1223,1004,1008,1257,1197,1440,815,390
"Psychiatrie","Hôpital public",8292,248,1357,1076,816,783,1049,1072,1130,572,189,3598,65,416,389,296,308,467,525,615,380,137,4694,183,941,687,520,475,582,547,515,192,52
"Psychiatrie","Etablissement privé ESPIC",1102,18,139,135,105,99,153,154,164,97,38,455,4,29,49,35,39,56,76,84,56,27,647,14,110,86,70,60,97,78,80,41,11
"Psychiatrie","Etablissement privé lucratif",298,1,23,48,39,31,37,33,37,28,21,214,1,15,26,25,21,30,25,28,25,18,84,0,8,22,14,10,7,8,9,3,3
"Psychiatrie","Centre de santé",196,0,9,12,8,13,27,25,30,39,33,103,0,1,5,2,10,10,14,15,24,22,93,0,8,7,6,3,17,11,15,15,11
"Psychiatrie","Cabinet individuel",4875,5,137,295,301,389,493,613,1066,883,693,2813,4,60,150,136,152,249,342,624,597,499,2062,1,77,145,165,237,244,271,442,286,194
"Psychiatrie","Cabinet de groupe, société",1639,1,53,112,149,138,218,267,342,244,115,1026,0,16,55,88,68,138,183,221,172,85,613,1,37,57,61,70,80,84,121,72,30
"Psychiatrie","Prévention",38,0,3,3,4,4,6,4,9,2,3,19,0,0,1,1,2,3,3,5,1,3,19,0,3,2,3,2,3,1,4,1,0
"Psychiatrie","Autres secteurs",2941,7,153,216,204,225,352,362,543,550,329,1472,1,38,55,53,90,140,178,299,367,251,1469,6,115,161,151,135,212,184,244,183,78
"Psychiatrie","Activités exercées par des remplaçants",496,22,139,94,31,30,28,31,28,55,38,242,9,55,38,17,14,13,18,18,33,27,254,13,84,56,14,16,15,13,10,22,11
"Radiodiagnostic et imagerie médicale","ENSEMBLE",26953,126,1445,2687,3274,3228,3835,4829,4738,2120,671,18151,76,831,1484,1904,1846,2386,3553,3629,1817,625,8802,50,614,1203,1370,1382,1449,1276,1109,303,46
"Radiodiagnostic et imagerie médicale","Hôpital public",4333,85,614,523,490,405,485,691,690,270,80,2648,49,337,259,269,207,271,486,483,214,73,1685,36,277,264,221,198,214,205,207,56,7
"Radiodiagnostic et imagerie médicale","Etablissement privé ESPIC",429,7,25,56,48,41,51,82,86,28,5,266,4,16,26,25,22,32,56,61,20,4,163,3,9,30,23,19,19,26,25,8,1
"Radiodiagnostic et imagerie médicale","Etablissement privé lucratif",3805,0,81,312,465,509,608,776,686,307,61,2629,0,41,174,283,313,367,569,552,270,60,1176,0,40,138,182,196,241,207,134,37,1
"Radiodiagnostic et imagerie médicale","Centre de santé",298,0,3,6,15,13,30,54,78,53,46,153,0,1,1,11,1,4,25,32,39,39,145,0,2,5,4,12,26,29,46,14,7
"Radiodiagnostic et imagerie médicale","Cabinet individuel",954,0,16,52,93,83,139,165,240,126,40,718,0,7,35,58,62,91,129,187,113,36,236,0,9,17,35,21,48,36,53,13,4
"Radiodiagnostic et imagerie médicale","Cabinet de groupe, société",14577,1,387,1387,1914,1967,2288,2704,2652,1053,224,10155,1,274,810,1127,1144,1487,2034,2126,938,214,4422,0,113,577,787,823,801,670,526,115,10
"Radiodiagnostic et imagerie médicale","Prévention",13,0,2,1,2,0,1,1,5,0,1,4,0,0,0,1,0,0,0,2,0,1,9,0,2,1,1,0,1,1,3,0,0
"Radiodiagnostic et imagerie médicale","Autres secteurs",1021,16,79,146,110,91,134,223,153,55,14,635,8,29,80,57,44,84,172,107,43,11,386,8,50,66,53,47,50,51,46,12,3
"Radiodiagnostic et imagerie médicale","Activités exercées par des remplaçants",1523,17,238,204,137,119,99,133,148,228,200,943,14,126,99,73,53,50,82,79,180,187,580,3,112,105,64,66,49,51,69,48,13
"Radiothérapie","ENSEMBLE",1784,22,236,271,194,228,193,217,231,153,39,1136,13,118,149,109,150,127,149,164,129,28,648,9,118,122,85,78,66,68,67,24,11
"Radiothérapie","Hôpital public",374,7,65,47,39,45,45,58,35,27,6,218,4,29,23,19,28,26,39,27,20,3,156,3,36,24,20,17,19,19,8,7,3
"Radiothérapie","Etablissement privé ESPIC",22,0,1,6,2,0,5,3,4,0,1,8,0,0,2,1,0,2,0,3,0,0,14,0,1,4,1,0,3,3,1,0,1
"Radiothérapie","Etablissement privé lucratif",239,0,17,32,33,26,27,27,42,29,6,169,0,6,17,22,18,22,24,32,25,3,70,0,11,15,11,8,5,3,10,4,3
"Radiothérapie","Centre de santé",6,0,1,3,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,1,0,0
"Radiothérapie","Cabinet individuel",59,0,4,9,8,5,4,12,6,8,3,27,0,1,2,4,2,3,3,3,8,1,32,0,3,7,4,3,1,9,3,0,2
"Radiothérapie","Cabinet de groupe, société",653,0,48,108,73,109,66,74,104,55,16,468,0,32,69,50,80,48,51,75,49,14,185,0,16,39,23,29,18,23,29,6,2
"Radiothérapie","Prévention",3,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0
"Radiothérapie","Autres secteurs",352,11,70,48,36,40,45,41,32,25,4,199,6,31,27,12,22,26,31,20,20,4,153,5,39,21,24,18,19,10,12,5,0
"Radiothérapie","Activités exercées par des remplaçants",76,4,30,18,2,3,1,2,6,7,3,43,3,19,7,1,0,0,1,4,5,3,33,1,11,11,1,3,1,1,2,2,0
"Réanimation médicale","ENSEMBLE",517,0,32,117,105,78,90,64,22,8,1,396,0,16,79,81,62,76,55,18,8,1,121,0,16,38,24,16,14,9,4,0,0
"Réanimation médicale","Hôpital public",437,0,32,104,88,62,70,58,17,6,0,331,0,16,71,68,48,58,51,13,6,0,106,0,16,33,20,14,12,7,4,0,0
"Réanimation médicale","Etablissement privé ESPIC",13,0,0,2,4,2,1,3,0,1,0,8,0,0,1,3,1,0,2,0,1,0,5,0,0,1,1,1,1,1,0,0,0
"Réanimation médicale","Etablissement privé lucratif",10,0,0,1,0,1,6,1,1,0,0,9,0,0,1,0,1,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Réanimation médicale","Centre de santé",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Réanimation médicale","Cabinet individuel",7,0,0,1,1,2,1,0,2,0,0,5,0,0,1,0,1,1,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0
"Réanimation médicale","Cabinet de groupe, société",33,0,0,4,10,6,10,1,2,0,0,29,0,0,3,8,6,9,1,2,0,0,4,0,0,1,2,0,1,0,0,0,0
"Réanimation médicale","Prévention",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Réanimation médicale","Autres secteurs",6,0,0,1,0,2,1,1,0,0,1,6,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Réanimation médicale","Activités exercées par des remplaçants",10,0,0,4,1,3,1,0,0,1,0,7,0,0,1,1,3,1,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0
"Recherche médicale","ENSEMBLE",16,0,0,0,0,0,0,14,2,0,0,10,0,0,0,0,0,0,8,2,0,0,6,0,0,0,0,0,0,6,0,0,0
"Recherche médicale","Hôpital public",11,0,0,0,0,0,0,9,2,0,0,7,0,0,0,0,0,0,5,2,0,0,4,0,0,0,0,0,0,4,0,0,0
"Recherche médicale","Etablissement privé ESPIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recherche médicale","Etablissement privé lucratif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recherche médicale","Centre de santé",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recherche médicale","Cabinet individuel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recherche médicale","Cabinet de groupe, société",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recherche médicale","Prévention",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recherche médicale","Autres secteurs",5,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"Recherche médicale","Activités exercées par des remplaçants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhumatologie","ENSEMBLE",3791,99,345,294,262,306,474,697,759,374,181,1998,31,100,72,76,105,219,440,496,301,158,1793,68,245,222,186,201,255,257,263,73,23
"Rhumatologie","Hôpital public",1242,82,197,134,111,107,155,196,155,75,30,576,27,60,43,30,37,66,133,98,56,26,666,55,137,91,81,70,89,63,57,19,4
"Rhumatologie","Etablissement privé ESPIC",80,3,8,6,8,9,18,14,8,3,3,39,1,1,1,3,2,9,11,6,2,3,41,2,7,5,5,7,9,3,2,1,0
"Rhumatologie","Etablissement privé lucratif",89,0,4,9,9,6,9,16,17,14,5,54,0,0,2,4,3,6,10,12,12,5,35,0,4,7,5,3,3,6,5,2,0
"Rhumatologie","Centre de santé",245,1,5,6,11,13,20,60,70,28,31,123,1,3,1,1,3,6,29,39,18,22,122,0,2,5,10,10,14,31,31,10,9
"Rhumatologie","Cabinet individuel",874,0,24,44,46,56,115,175,231,113,70,529,0,5,10,16,16,56,112,155,97,62,345,0,19,34,30,40,59,63,76,16,8
"Rhumatologie","Cabinet de groupe, société",934,0,48,64,60,93,126,180,225,105,33,537,0,17,12,16,36,63,117,155,90,31,397,0,31,52,44,57,63,63,70,15,2
"Rhumatologie","Prévention",12,0,0,0,0,2,5,2,1,2,0,4,0,0,0,0,1,1,0,0,2,0,8,0,0,0,0,1,4,2,1,0,0
"Rhumatologie","Autres secteurs",166,3,4,6,10,15,21,40,47,19,1,96,0,1,1,6,7,11,23,30,16,1,70,3,3,5,4,8,10,17,17,3,0
"Rhumatologie","Activités exercées par des remplaçants",149,10,55,25,7,5,5,14,5,15,8,40,2,13,2,0,0,1,5,1,8,8,109,8,42,23,7,5,4,9,4,7,0
"Santé publique et médecine sociale","ENSEMBLE",1875,21,213,227,184,233,207,321,299,151,19,768,9,90,85,84,83,86,139,111,70,11,1107,12,123,142,100,150,121,182,188,81,8
"Santé publique et médecine sociale","Hôpital public",809,11,134,135,110,131,99,127,39,22,1,382,5,64,54,50,60,48,63,17,20,1,427,6,70,81,60,71,51,64,22,2,0
"Santé publique et médecine sociale","Etablissement privé ESPIC",41,0,1,4,3,4,4,9,8,8,0,13,0,1,2,0,0,1,3,4,2,0,28,0,0,2,3,4,3,6,4,6,0
"Santé publique et médecine sociale","Etablissement privé lucratif",41,0,6,13,8,9,3,1,0,1,0,19,0,5,8,5,1,0,0,0,0,0,22,0,1,5,3,8,3,1,0,1,0
"Santé publique et médecine sociale","Centre de santé",32,0,0,5,1,2,2,5,14,3,0,11,0,0,2,1,1,1,2,3,1,0,21,0,0,3,0,1,1,3,11,2,0
"Santé publique et médecine sociale","Cabinet individuel",10,0,0,2,1,2,1,2,1,1,0,3,0,0,0,0,0,1,0,1,1,0,7,0,0,2,1,2,0,2,0,0,0
"Santé publique et médecine sociale","Cabinet de groupe, société",3,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"Santé publique et médecine sociale","Prévention",219,0,24,17,12,15,23,29,70,21,8,43,0,4,2,1,1,5,10,13,5,2,176,0,20,15,11,14,18,19,57,16,6
"Santé publique et médecine sociale","Autres secteurs",703,10,47,49,47,68,72,146,163,92,9,290,4,16,17,26,19,29,61,72,39,7,413,6,31,32,21,49,43,85,91,53,2
"Santé publique et médecine sociale","Activités exercées par des remplaçants",17,0,1,2,2,1,2,2,4,2,1,5,0,0,0,1,1,0,0,1,1,1,12,0,1,2,1,0,2,2,3,1,0
"Généralistes","ENSEMBLE",124868,3147,14983,10779,10629,11904,15103,22422,20003,11409,4489,65951,956,4779,4136,4453,5245,7349,12556,13593,8950,3934,58917,2191,10204,6643,6176,6659,7754,9866,6410,2459,555
"Généralistes","Hôpital public",21065,1032,3169,2227,2358,2429,2756,3258,2235,1195,406,10907,384,1212,955,1108,1225,1450,1902,1419,901,351,10158,648,1957,1272,1250,1204,1306,1356,816,294,55
"Généralistes","Etablissement privé ESPIC",1857,28,232,165,228,209,270,336,228,114,47,820,7,60,50,75,75,102,169,153,86,43,1037,21,172,115,153,134,168,167,75,28,4
"Généralistes","Etablissement privé lucratif",2101,30,258,268,278,234,281,318,231,141,62,1017,8,74,103,106,104,140,165,151,111,55,1084,22,184,165,172,130,141,153,80,30,7
"Généralistes","Centre de santé",2993,55,409,305,266,224,321,517,424,314,158,1186,7,69,65,97,74,115,185,233,214,127,1807,48,340,240,169,150,206,332,191,100,31
"Généralistes","Cabinet individuel",28895,212,1701,1568,1770,2259,3269,6203,6580,3845,1488,18529,75,565,670,847,1094,1851,3986,4951,3193,1297,10366,137,1136,898,923,1165,1418,2217,1629,652,191
"Généralistes","Cabinet de groupe, société",34706,517,4156,3653,3341,3707,4433,6261,5684,2321,633,20413,165,1428,1501,1582,1892,2617,4184,4465,2002,577,14293,352,2728,2152,1759,1815,1816,2077,1219,319,56
"Généralistes","Prévention",7311,70,476,436,592,813,1119,1577,1337,659,232,1291,8,37,26,51,80,123,232,305,261,168,6020,62,439,410,541,733,996,1345,1032,398,64
"Généralistes","Autres secteurs",14392,71,577,727,1004,1318,2033,3244,2718,1890,810,6770,20,147,215,270,389,667,1361,1557,1427,717,7622,51,430,512,734,929,1366,1883,1161,463,93
"Généralistes","Activités exercées par des remplaçants",11548,1132,4005,1430,792,711,621,708,566,930,653,5018,282,1187,551,317,312,284,372,359,755,599,6530,850,2818,879,475,399,337,336,207,175,54
"Médecine générale","ENSEMBLE",124868,3147,14983,10779,10629,11904,15103,22422,20003,11409,4489,65951,956,4779,4136,4453,5245,7349,12556,13593,8950,3934,58917,2191,10204,6643,6176,6659,7754,9866,6410,2459,555
"Médecine générale","Hôpital public",21065,1032,3169,2227,2358,2429,2756,3258,2235,1195,406,10907,384,1212,955,1108,1225,1450,1902,1419,901,351,10158,648,1957,1272,1250,1204,1306,1356,816,294,55
"Médecine générale","Etablissement privé ESPIC",1857,28,232,165,228,209,270,336,228,114,47,820,7,60,50,75,75,102,169,153,86,43,1037,21,172,115,153,134,168,167,75,28,4
"Médecine générale","Etablissement privé lucratif",2101,30,258,268,278,234,281,318,231,141,62,1017,8,74,103,106,104,140,165,151,111,55,1084,22,184,165,172,130,141,153,80,30,7
"Médecine générale","Centre de santé",2993,55,409,305,266,224,321,517,424,314,158,1186,7,69,65,97,74,115,185,233,214,127,1807,48,340,240,169,150,206,332,191,100,31
"Médecine générale","Cabinet individuel",28895,212,1701,1568,1770,2259,3269,6203,6580,3845,1488,18529,75,565,670,847,1094,1851,3986,4951,3193,1297,10366,137,1136,898,923,1165,1418,2217,1629,652,191
"Médecine générale","Cabinet de groupe, société",34706,517,4156,3653,3341,3707,4433,6261,5684,2321,633,20413,165,1428,1501,1582,1892,2617,4184,4465,2002,577,14293,352,2728,2152,1759,1815,1816,2077,1219,319,56
"Médecine générale","Prévention",7311,70,476,436,592,813,1119,1577,1337,659,232,1291,8,37,26,51,80,123,232,305,261,168,6020,62,439,410,541,733,996,1345,1032,398,64
"Médecine générale","Autres secteurs",14392,71,577,727,1004,1318,2033,3244,2718,1890,810,6770,20,147,215,270,389,667,1361,1557,1427,717,7622,51,430,512,734,929,1366,1883,1161,463,93
"Médecine générale","Activités exercées par des remplaçants",11548,1132,4005,1430,792,711,621,708,566,930,653,5018,282,1187,551,317,312,284,372,359,755,599,6530,850,2818,879,475,399,337,336,207,175,54
